index,restaurant name,lat,lon,date
1,Hoş geldiniz!,40,32,14-12-2025
2,Nihat Et Mangal,39.5995503,32.8476387,01-01-2024
3,Tuana Cafe ve Restaurant,39.5384233,32.6117899,28-04-2024
4,Hatay Sofrası,39.4341531,32.4955055,02-04-2024
5,Babaoğlu Restoran - Kavurmacıların Yeri,39.706838,32.280138,09-06-2024
6,N'eat Hafif Bi' Şeyler,39.912261,32.7701319,04-08-2024
7,Turgan Garden,39.8108743,32.6882075,13-04-2024
8,Taymek,39.8548479,32.6062397,07-03-2024
9,Etiş Lahmacun & Pide,39.8741476,32.6496979,08-11-2024
10,Bizim Mahalle Restoran,39.9930685,32.6981177,15-10-2024
11,Tat - An Pide & Kebap,39.9856039,32.7756116,08-09-2024
12,"Dedem Pide & Kebap, Lahmacun Mamak (Başak Mah.)",39.9703095,32.9612579,20-03-2024
13,Deniz Restaurant,39.9690717,32.7926076,19-08-2024
14,BAHÇE ivedik,39.9951927,32.7628906,04-04-2024
15,Kardeşler Piknik,39.966229,32.7518211,07-12-2024
16,Besler Restaurant,39.9729874,32.7541853,20-09-2024
17,Gaziantep Örnek Pide Ve Kebap Salonu,39.9568259,32.8761033,08-04-2024
18,2 Ahmet Restaurant,39.9798117,32.6863593,17-04-2024
19,Mozaik Cafe-Restaurant,39.9462295,32.718728,08-03-2024
20,Özlem Özler Döner,39.9098705,32.7553993,17-03-2024
21,Ihlamur Angora,39.8787385,32.7195803,16-07-2024
22,No95,39.8961182,32.7044019,17-11-2024
23,Angora Ocakbaşı,39.8869103,32.7166808,03-11-2024
24,Çayyolu Balkon Cafe,39.8772641,32.6790717,20-06-2024
25,Nükteli,39.8931297,32.7013653,02-06-2024
26,Şeker Bahçe Kıbrıs Kanyonu,39.8683545,33.0036656,28-05-2024
27,JÜPİTER RESTORAN,39.8451842,32.9212265,25-02-2024
28,Saklı Konak Restaurant,39.8253293,32.8782361,06-05-2024
29,Nazlı Restaurant,39.8338588,32.8542885,30-01-2024
30,Profesörün Konağı,39.7510583,32.8223583,25-06-2024
31,Meşhur Gülçimen Aspava,39.9106379,32.7697026,24-05-2024
32,MEŞHUR GÜLÇİMEN ASPAVA EMEK,39.916526,32.8170519,25-07-2024
33,Marlinda Lokanta & Cafe,39.9090488,32.7757234,01-04-2024
34,Filikos Restoran,39.9106083,32.7771541,28-11-2024
35,TAMERLER CAFE & RESTAURANT,39.7309632,32.3756511,02-09-2024
36,AYBEKOĞULLLARI Pide Kebap Salonu,39.7906884,32.4570766,14-10-2024
37,Aslanlar Petrol Lokanta,39.7796393,32.5055236,15-09-2024
38,Anadolu Göl Restaurant,39.7947196,32.3969421,31-10-2024
39,Taymek Karadeniz Restoran,39.7543999,32.4447526,09-03-2024
40,Hassu Alabalık Izgara,40.0659239,32.8686315,07-05-2024
41,HAYALİNN RESTAURANT DÜĞÜN CAFE,39.9050617,32.6435566,12-10-2024
42,Fırın Abi,39.8217849,32.5703806,24-12-2024
43,Baklava İşler (Bağlıca Şube),39.8963849,32.6347864,15-12-2024
44,Polatlı Çorba Dünyası bağlıca,39.8966806,32.6531715,08-01-2024
45,Çimen Lokantası,40.0979739,31.6740872,24-10-2024
46,ANTEPLİNİN YERİ~GOKHAN USTA,39.8658536,31.4954799,25-03-2024
47,Osmanogulları Pide Kebap Izgara,39.8919448,32.6425514,17-09-2024
48,06 Restaurant pide Çiğbörek mantı,39.5771623,32.1281599,08-08-2024
49,Mutlu çay bahçesi,39.8667196,32.0820502,10-04-2024
50,Eray Pide Ve Kebap Salonu,40.409501,31.848219,11-03-2024
51,Aspavam Pide Ve Kebap Salonu,39.557825,33.1178471,29-08-2024
52,T.C Elmadağ Belediyesi Köy Konağı,39.91675,33.2440058,27-09-2024
53,Karakaya Cifligi,39.7227751,33.1703303,18-08-2024
54,Alatur,40.0467812,32.8422169,16-11-2024
55,Akbük Mesire Yeri ve Kır Lokantası,41.1111112,32.0038613,03-04-2024
56,Buta Baku,39.9574275,32.7397788,30-04-2024
57,Site 2 Lokantası Abdurrahman Küçük Ovacık,40.0088005,32.8257718,08-02-2024
58,Akınet Restaurant,41.273542,32.0540939,15-06-2024
59,Kardeşler Pide Kebap Salonu,39.9488392,32.6411207,11-12-2024
60,1923eth Et ve Balık Restaurant,39.9805248,32.7082512,23-08-2024
61,Mama's Burger Velux,39.9467532,32.7372082,10-12-2024
62,Yağmur Aspava,39.980305,32.7505363,22-03-2024
63,Salus Restaurant,40.0415728,32.9023046,14-04-2024
64,Merhabalık Restaurant,39.9535423,32.7347681,01-10-2024
65,Ustaoğlu Restaurant,41.200533,32.3291759,11-07-2024
66,Sabaha Kadar Döner (Gece Dönercisi),39.9672596,32.6549057,07-09-2024
67,ERGÜNLER ET MANGAL ÇAY EVİ,41.5221212,32.5381189,04-11-2024
68,Barış Balık Lokantası,39.9127438,32.7600197,21-03-2024
69,İlyas Amca Fatma Teyze köy kahvaltısı,41.4108199,32.7331451,23-05-2024
70,Zula Restoran,39.9119858,32.7506217,18-03-2024
71,KÖYÜM RESTAURANT,39.9428531,32.7137322,02-12-2024
72,Hangar Restaurant,39.9307613,32.7171715,30-09-2024
73,Anadolu Döner Bekir Bolat Şaşmaz Etimesgut,39.9349292,32.7172059,13-12-2024
74,TMO Alakart Restoranı,39.9413715,32.7642683,05-07-2024
75,Ballibadem lokma,39.9334713,32.6299938,11-08-2024
76,Tarihi Değirmen Restoran Safranbolu Yazıköy,41.2297304,32.7637728,03-05-2024
77,Mack House Food & Beverage,39.9057059,32.7035908,16-06-2024
78,ZEYNEPİN YERİ KARASU ÂLÂBALIK,41.2036094,32.9253273,26-07-2024
79,Meşeli Canlı Alabalık Tesisi,40.365054,33.2065879,06-12-2024
80,Rosier işletmesi,39.9086003,32.7532244,15-11-2024
81,La Vita Pizzeria,39.8681632,32.6527613,04-05-2024
82,Central ODTÜ Teknokent,39.8994291,32.773409,17-07-2024
83,Seben Tasliyayla,40.5321936,31.6863258,22-02-2024
84,Dodurga Komagene,39.8294114,32.6617784,10-10-2024
85,Karagöl Dağ Evleri,40.3549378,31.9268976,03-02-2024
86,DORUK CAFE RESTAURANT,39.9023292,32.645859,05-01-2024
87,MEŞHUR ADIYAMAN ÇİĞKÖFTECİSİ BAYRAM USTA,39.8950931,32.9850732,09-08-2024
88,AYABAKAN BALIK LOKANTASI YAŞAMKENT ALACATLI İNCEK,39.8705691,32.6451865,20-02-2024
89,Deli Pasta Cake Coffee Kitchen,39.8494813,32.6516183,24-02-2024
90,Yaşamkent Garden,39.8669208,32.6411296,22-04-2024
91,Ayışığı Cafe yaşamkent,39.8587335,32.6324717,28-09-2024
92,Behzat Restaurant in Çayyolu,39.8737944,32.6828071,17-05-2024
93,Olsun Varsın,39.8806075,32.6750401,17-02-2024
94,PİZZA MARİ HAMBURGER YAŞAMKENT ÇAYYOLU PİZZACISI,39.8704172,32.6632885,09-01-2024
95,Yasemin Pide Kebap Salonu,40.627488,33.1076231,12-09-2024
96,Ağaçlı Dürüm Kebap,39.905398,32.6979171,25-10-2024
97,Çevik Palas,40.2532532,32.138069,03-01-2024
98,Franco Burger,39.8800429,32.6877067,20-04-2024
99,NECİP BALIK EKMEK,40.2387973,33.0288693,16-09-2024
100,Öğütler Cafe Restorant,39.8823372,32.6805071,11-09-2024
101,HUHU,39.8772709,32.7053869,09-11-2024
102,Make Maki Sushi & Noodle,39.876723,32.6904806,23-09-2024
103,Dalkılıç kardeşler lokantası,40.3793563,31.6834264,24-03-2024
104,ORA'STEAK & BURGERS,39.8917689,32.6247391,20-08-2024
105,Beygah Restoran,40.1505447,31.9115999,04-03-2024
106,Taşev Yiğit Restoran,39.821529,32.961172,14-02-2024
107,Yukarı Restaurant,40.2863514,31.9514706,18-12-2024
108,Alaattin Ocakbaşı Adana Kebapçısı,39.8540495,32.6509333,05-08-2024
109,sorgun balıklı göl alabalık tesisi,40.3359642,32.2337335,31-01-2024
110,Mengen Taşdeğirmen Kahvaltı,40.8441665,32.0604487,05-10-2024
111,Köfteci Enişte,40.8307799,31.6616858,19-11-2024
112,vadi göl alabalık,39.7396247,32.6236584,09-10-2024
113,uludag kebab salonu,39.6932682,32.6532705,30-12-2024
114,Gülpembe Gizli Bahçe,39.7129046,32.7527881,27-02-2024
115,Eğriçimen İncek IZGARA & KAHVALTI & ET Restaurant,39.7922665,32.6902962,02-02-2024
116,KIZILCAHAMAM MÜHÜR RESTAURANT&KÖY KAHVALTI SARAYI,40.4646872,32.6279002,18-04-2024
117,Bereketli Sofra,39.758997,32.6551225,14-07-2024
118,Salkım söğüt kahvaltı mantı çibörek,39.9133512,32.7721298,31-12-2024
119,Asmalı Balkon CLD,39.9099977,32.7685429,05-12-2024
120,100 Burger-Maidan,39.9095056,32.7652304,01-03-2024
121,Dudu restaurant,40.8357818,32.4144223,30-07-2024
